Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales ('000),COGS,Profit,Profit ('000),Date,Month,Quarter,Year,Customer_Name,Product_Name,Country
Midmarket,CUST_ID_280,PROD_ID_001,Medium,1566.67,5,15,23500.05,2350.01,21150.04,21.15,7833.35,13316.69,13.32,18-07-2023,Jul,Q3,2023,Kevin Johnson,Montana,USA
Small Business,CUST_ID_247,PROD_ID_005,None,675.14,3,300,202542,0,202542,202.54,2025.42,200516.58,200.52,19-07-2023,Jul,Q3,2023,Steve Thomas,Carretera,USA
Enterprise,CUST_ID_178,PROD_ID_001,None,1833.55,5,125,229193.75,0,229193.75,229.19,9167.75,220026,220.03,21-07-2023,Jul,Q3,2023,Alice Anderson,Montana,India
Channel Partners,CUST_ID_182,PROD_ID_003,High,1552.8,120,12,18633.6,2795.04,15838.56,15.84,186336,-170497.44,-170.5,22-07-2023,Jul,Q3,2023,Laura Martin,Velo,France
Small Business,CUST_ID_153,PROD_ID_004,None,729.99,250,300,218997,0,218997,219,182497.5,36499.5,36.5,22-07-2023,Jul,Q3,2023,Rachel Martinez,VTT,Germany
Government,CUST_ID_186,PROD_ID_001,None,1848.12,5,350,646842,0,646842,646.84,9240.6,637601.4,637.6,23-07-2023,Jul,Q3,2023,Paul Smith,Montana,Canada
Midmarket,CUST_ID_278,PROD_ID_005,Low,1666.94,3,15,25004.1,1250.2,23753.9,23.75,5000.82,18753.08,18.75,23-07-2023,Jul,Q3,2023,Bob Hernandez,Carretera,France
Government,CUST_ID_242,PROD_ID_003,Low,1118.22,120,350,391377,19568.85,371808.15,371.81,134186.4,237621.75,237.62,23-07-2023,Jul,Q3,2023,Hannah Jones,Velo,Japan
Government,CUST_ID_204,PROD_ID_003,Low,1008.21,120,350,352873.5,17643.67,335229.83,335.23,120985.2,214244.63,214.24,24-07-2023,Jul,Q3,2023,Steve Wilson,Velo,Canada
Channel Partners,CUST_ID_179,PROD_ID_006,High,723.72,260,12,8684.64,1302.7,7381.94,7.38,188167.2,-180785.26,-180.79,24-07-2023,Jul,Q3,2023,Ian Anderson,Amarilla,Canada
Enterprise,CUST_ID_281,PROD_ID_006,None,2809.56,260,125,351195,0,351195,351.19,730485.6,-379290.6,-379.29,25-07-2023,Jul,Q3,2023,Eva Jones,Amarilla,France
Small Business,CUST_ID_267,PROD_ID_003,High,240.06,120,300,72018,10802.7,61215.3,61.22,28807.2,32408.1,32.41,28-07-2023,Jul,Q3,2023,Paul Rodriguez,Velo,England
Small Business,CUST_ID_161,PROD_ID_003,Medium,540.8,120,300,162240,16224,146016,146.02,64896,81120,81.12,29-07-2023,Jul,Q3,2023,Quincy Brown,Velo,Canada
Enterprise,CUST_ID_175,PROD_ID_001,Low,2326.71,5,125,290838.75,14541.94,276296.81,276.3,11633.55,264663.26,264.66,30-07-2023,Jul,Q3,2023,Laura Martinez,Montana,England
Small Business,CUST_ID_235,PROD_ID_004,Medium,902.78,250,300,270834,27083.4,243750.6,243.75,225695,18055.6,18.06,31-07-2023,Jul,Q3,2023,Grace Johnson,VTT,Canada
Small Business,CUST_ID_246,PROD_ID_002,None,520.62,10,300,156186,0,156186,156.19,5206.2,150979.8,150.98,01-08-2023,Aug,Q3,2023,Frank Anderson,Paseo,Japan
Government,CUST_ID_220,PROD_ID_006,High,3399.7,260,350,1189895,178484.25,1011410.75,1011.41,883922,127488.75,127.49,01-08-2023,Aug,Q3,2023,Bob Brown,Amarilla,England
Midmarket,CUST_ID_179,PROD_ID_006,None,1972.35,260,15,29585.25,0,29585.25,29.59,512811,-483225.75,-483.23,04-08-2023,Aug,Q3,2023,Ian Anderson,Amarilla,England
Government,CUST_ID_177,PROD_ID_005,High,3406.79,3,350,1192376.5,178856.48,1013520.02,1013.52,10220.37,1003299.65,1003.3,04-08-2023,Aug,Q3,2023,Laura Miller,Carretera,Japan
Channel Partners,CUST_ID_197,PROD_ID_004,Medium,1417.04,250,12,17004.48,1700.45,15304.03,15.3,354260,-338955.97,-338.96,05-08-2023,Aug,Q3,2023,Frank Johnson,VTT,England
Government,CUST_ID_274,PROD_ID_001,High,2322.06,5,350,812721,121908.15,690812.85,690.81,11610.3,679202.55,679.2,05-08-2023,Aug,Q3,2023,Oscar Taylor,Montana,Canada
Small Business,CUST_ID_217,PROD_ID_001,Low,982.32,5,300,294696,14734.8,279961.2,279.96,4911.6,275049.6,275.05,05-08-2023,Aug,Q3,2023,Frank Williams,Montana,Italy
Channel Partners,CUST_ID_283,PROD_ID_006,None,1149.27,260,12,13791.24,0,13791.24,13.79,298810.2,-285018.96,-285.02,06-08-2023,Aug,Q3,2023,Bob Johnson,Amarilla,France
Small Business,CUST_ID_274,PROD_ID_006,High,318.92,260,300,95676,14351.4,81324.6,81.32,82919.2,-1594.6,-1.59,06-08-2023,Aug,Q3,2023,Oscar Taylor,Amarilla,USA
Midmarket,CUST_ID_153,PROD_ID_005,High,1777.81,3,15,26667.15,4000.07,22667.08,22.67,5333.43,17333.65,17.33,06-08-2023,Aug,Q3,2023,Rachel Martinez,Carretera,England
Government,CUST_ID_170,PROD_ID_003,Low,1992.68,120,350,697438,34871.9,662566.1,662.57,239121.6,423444.5,423.44,07-08-2023,Aug,Q3,2023,Grace Brown,Velo,Germany
Channel Partners,CUST_ID_163,PROD_ID_002,High,1104.92,10,12,13259.04,1988.86,11270.18,11.27,11049.2,220.98,0.22,08-08-2023,Aug,Q3,2023,Alice Rodriguez,Paseo,France
Government,CUST_ID_171,PROD_ID_004,High,1264.06,250,350,442421,66363.15,376057.85,376.06,316015,60042.85,60.04,08-08-2023,Aug,Q3,2023,Charlie Thomas,VTT,Japan
Small Business,CUST_ID_265,PROD_ID_001,High,796.19,5,300,238857,35828.55,203028.45,203.03,3980.95,199047.5,199.05,09-08-2023,Aug,Q3,2023,Alice Moore,Montana,USA
Government,CUST_ID_177,PROD_ID_004,None,2671.39,250,350,934986.5,0,934986.5,934.99,667847.5,267139,267.14,09-08-2023,Aug,Q3,2023,Laura Miller,VTT,USA
Channel Partners,CUST_ID_174,PROD_ID_005,Medium,1835.17,3,12,22022.04,2202.2,19819.84,19.82,5505.51,14314.33,14.31,09-08-2023,Aug,Q3,2023,Charlie Gonzalez,Carretera,France
Small Business,CUST_ID_267,PROD_ID_003,None,853.27,120,300,255981,0,255981,255.98,102392.4,153588.6,153.59,10-08-2023,Aug,Q3,2023,Paul Rodriguez,Velo,Japan
Channel Partners,CUST_ID_235,PROD_ID_005,High,1574.99,3,12,18899.88,2834.98,16064.9,16.06,4724.97,11339.93,11.34,10-08-2023,Aug,Q3,2023,Grace Johnson,Carretera,Italy
Enterprise,CUST_ID_266,PROD_ID_001,Low,1004.39,5,125,125548.75,6277.44,119271.31,119.27,5021.95,114249.36,114.25,11-08-2023,Aug,Q3,2023,Oscar Moore,Montana,Italy
Channel Partners,CUST_ID_225,PROD_ID_005,Medium,1553.14,3,12,18637.68,1863.77,16773.91,16.77,4659.42,12114.49,12.11,12-08-2023,Aug,Q3,2023,Eva Lopez,Carretera,USA
Government,CUST_ID_193,PROD_ID_002,High,1320.88,10,350,462308,69346.2,392961.8,392.96,13208.8,379753,379.75,13-08-2023,Aug,Q3,2023,Tina Williams,Paseo,France
Enterprise,CUST_ID_199,PROD_ID_004,Low,1914.09,250,125,239261.25,11963.06,227298.19,227.3,478522.5,-251224.31,-251.22,13-08-2023,Aug,Q3,2023,Bob Garcia,VTT,France
Enterprise,CUST_ID_237,PROD_ID_004,None,2853.25,250,125,356656.25,0,356656.25,356.66,713312.5,-356656.25,-356.66,13-08-2023,Aug,Q3,2023,Charlie Moore,VTT,Canada
Government,CUST_ID_266,PROD_ID_006,Low,3891.56,260,350,1362046,68102.3,1293943.7,1293.94,1011805.6,282138.1,282.14,14-08-2023,Aug,Q3,2023,Oscar Moore,Amarilla,USA
Enterprise,CUST_ID_286,PROD_ID_005,High,2677.63,3,125,334703.75,50205.56,284498.19,284.5,8032.89,276465.3,276.47,14-08-2023,Aug,Q3,2023,Mike Martin,Carretera,Japan
Midmarket,CUST_ID_281,PROD_ID_006,Low,1595.74,260,15,23936.1,1196.81,22739.29,22.74,414892.4,-392153.11,-392.15,15-08-2023,Aug,Q3,2023,Eva Jones,Amarilla,England
Government,CUST_ID_177,PROD_ID_006,Medium,2512.33,260,350,879315.5,87931.55,791383.95,791.38,653205.8,138178.15,138.18,15-08-2023,Aug,Q3,2023,Laura Miller,Amarilla,India
Channel Partners,CUST_ID_258,PROD_ID_006,Low,910.39,260,12,10924.68,546.23,10378.45,10.38,236701.4,-226322.95,-226.32,15-08-2023,Aug,Q3,2023,Paul Thomas,Amarilla,Italy
Government,CUST_ID_226,PROD_ID_002,Low,2238.24,10,350,783384,39169.2,744214.8,744.21,22382.4,721832.4,721.83,15-08-2023,Aug,Q3,2023,Grace Davis,Paseo,Germany
Small Business,CUST_ID_291,PROD_ID_006,Low,360.71,260,300,108213,5410.65,102802.35,102.8,93784.6,9017.75,9.02,16-08-2023,Aug,Q3,2023,Tina Garcia,Amarilla,Germany
Midmarket,CUST_ID_239,PROD_ID_006,Low,1255.84,260,15,18837.6,941.88,17895.72,17.9,326518.4,-308622.68,-308.62,17-08-2023,Aug,Q3,2023,Paul Williams,Amarilla,Italy
Small Business,CUST_ID_180,PROD_ID_005,High,666.25,3,300,199875,29981.25,169893.75,169.89,1998.75,167895,167.9,18-08-2023,Aug,Q3,2023,Eva Rodriguez,Carretera,India
Small Business,CUST_ID_287,PROD_ID_004,None,618.18,250,300,185454,0,185454,185.45,154545,30909,30.91,18-08-2023,Aug,Q3,2023,Ian Taylor,VTT,USA
Midmarket,CUST_ID_248,PROD_ID_001,None,799.85,5,15,11997.75,0,11997.75,12,3999.25,7998.5,8,19-08-2023,Aug,Q3,2023,Oscar Jones,Montana,England
Small Business,CUST_ID_224,PROD_ID_002,None,752.48,10,300,225744,0,225744,225.74,7524.8,218219.2,218.22,19-08-2023,Aug,Q3,2023,Steve Gonzalez,Paseo,Germany
Channel Partners,CUST_ID_203,PROD_ID_001,Medium,1721.04,5,12,20652.48,2065.25,18587.23,18.59,8605.2,9982.03,9.98,19-08-2023,Aug,Q3,2023,Frank Lopez,Montana,Canada
Midmarket,CUST_ID_294,PROD_ID_006,High,856.39,260,15,12845.85,1926.88,10918.97,10.92,222661.4,-211742.43,-211.74,20-08-2023,Aug,Q3,2023,Julia Anderson,Amarilla,Germany
Government,CUST_ID_163,PROD_ID_004,High,3870.11,250,350,1354538.5,203180.77,1151357.73,1151.36,967527.5,183830.23,183.83,20-08-2023,Aug,Q3,2023,Alice Rodriguez,VTT,Italy
Enterprise,CUST_ID_292,PROD_ID_001,Medium,1406.17,5,125,175771.25,17577.12,158194.13,158.19,7030.85,151163.28,151.16,20-08-2023,Aug,Q3,2023,Hannah Moore,Montana,Japan
Small Business,CUST_ID_208,PROD_ID_005,Low,820.92,3,300,246276,12313.8,233962.2,233.96,2462.76,231499.44,231.5,20-08-2023,Aug,Q3,2023,Julia Wilson,Carretera,France
Government,CUST_ID_226,PROD_ID_002,None,1560.93,10,350,546325.5,0,546325.5,546.33,15609.3,530716.2,530.72,21-08-2023,Aug,Q3,2023,Grace Davis,Paseo,England
Enterprise,CUST_ID_282,PROD_ID_004,None,1857.02,250,125,232127.5,0,232127.5,232.13,464255,-232127.5,-232.13,21-08-2023,Aug,Q3,2023,Charlie Jackson,VTT,Germany
Midmarket,CUST_ID_184,PROD_ID_005,Medium,508.47,3,15,7627.05,762.71,6864.34,6.86,1525.41,5338.93,5.34,22-08-2023,Aug,Q3,2023,Paul Gonzalez,Carretera,Japan
Enterprise,CUST_ID_190,PROD_ID_002,Medium,2193.76,10,125,274220,27422,246798,246.8,21937.6,224860.4,224.86,22-08-2023,Aug,Q3,2023,Nina Johnson,Paseo,Germany
Channel Partners,CUST_ID_276,PROD_ID_005,Medium,609.32,3,12,7311.84,731.18,6580.66,6.58,1827.96,4752.7,4.75,23-08-2023,Aug,Q3,2023,Hannah Williams,Carretera,Italy
Midmarket,CUST_ID_285,PROD_ID_002,None,1679.39,10,15,25190.85,0,25190.85,25.19,16793.9,8396.95,8.4,24-08-2023,Aug,Q3,2023,Ian Davis,Paseo,England
Channel Partners,CUST_ID_257,PROD_ID_005,High,637.92,3,12,7655.04,1148.26,6506.78,6.51,1913.76,4593.02,4.59,24-08-2023,Aug,Q3,2023,Laura Anderson,Carretera,France
Small Business,CUST_ID_205,PROD_ID_003,Medium,434.86,120,300,130458,13045.8,117412.2,117.41,52183.2,65229,65.23,25-08-2023,Aug,Q3,2023,David Brown,Velo,Japan
Enterprise,CUST_ID_294,PROD_ID_001,Medium,1891.33,5,125,236416.25,23641.62,212774.63,212.77,9456.65,203317.98,203.32,25-08-2023,Aug,Q3,2023,Julia Anderson,Montana,France
Small Business,CUST_ID_161,PROD_ID_004,None,508.7,250,300,152610,0,152610,152.61,127175,25435,25.43,26-08-2023,Aug,Q3,2023,Quincy Brown,VTT,Germany
Channel Partners,CUST_ID_157,PROD_ID_003,High,1230.21,120,12,14762.52,2214.38,12548.14,12.55,147625.2,-135077.06,-135.08,26-08-2023,Aug,Q3,2023,Tina Miller,Velo,Germany
Small Business,CUST_ID_200,PROD_ID_005,None,958.57,3,300,287571,0,287571,287.57,2875.71,284695.29,284.7,27-08-2023,Aug,Q3,2023,Frank Rodriguez,Carretera,England
Channel Partners,CUST_ID_288,PROD_ID_001,None,816.17,5,12,9794.04,0,9794.04,9.79,4080.85,5713.19,5.71,28-08-2023,Aug,Q3,2023,Hannah Miller,Montana,France
Enterprise,CUST_ID_259,PROD_ID_002,High,2293.12,10,125,286640,42996,243644,243.64,22931.2,220712.8,220.71,28-08-2023,Aug,Q3,2023,Hannah Brown,Paseo,Canada
Enterprise,CUST_ID_190,PROD_ID_004,Medium,1075.77,250,125,134471.25,13447.12,121024.13,121.02,268942.5,-147918.37,-147.92,28-08-2023,Aug,Q3,2023,Nina Johnson,VTT,Canada
Midmarket,CUST_ID_164,PROD_ID_003,None,1362.44,120,15,20436.6,0,20436.6,20.44,163492.8,-143056.2,-143.06,29-08-2023,Aug,Q3,2023,Paul Miller,Velo,France
Government,CUST_ID_217,PROD_ID_004,High,2890.65,250,350,1011727.5,151759.12,859968.38,859.97,722662.5,137305.88,137.31,29-08-2023,Aug,Q3,2023,Frank Williams,VTT,India
Enterprise,CUST_ID_231,PROD_ID_004,None,2069.67,250,125,258708.75,0,258708.75,258.71,517417.5,-258708.75,-258.71,29-08-2023,Aug,Q3,2023,Nina Anderson,VTT,Canada
Enterprise,CUST_ID_300,PROD_ID_006,None,1715.4,260,125,214425,0,214425,214.43,446004,-231579,-231.58,29-08-2023,Aug,Q3,2023,Rachel Jones,Amarilla,Canada
Small Business,CUST_ID_225,PROD_ID_005,None,425.21,3,300,127563,0,127563,127.56,1275.63,126287.37,126.29,30-08-2023,Aug,Q3,2023,Eva Lopez,Carretera,Japan
Government,CUST_ID_248,PROD_ID_006,None,2421.96,260,350,847686,0,847686,847.69,629709.6,217976.4,217.98,30-08-2023,Aug,Q3,2023,Oscar Jones,Amarilla,France
Government,CUST_ID_185,PROD_ID_005,Medium,3880.4,3,350,1358140,135814,1222326,1222.33,11641.2,1210684.8,1210.68,31-08-2023,Aug,Q3,2023,Quincy Garcia,Carretera,England
Small Business,CUST_ID_227,PROD_ID_001,Low,298.59,5,300,89577,4478.85,85098.15,85.1,1492.95,83605.2,83.61,31-08-2023,Aug,Q3,2023,Paul Jones,Montana,USA
Channel Partners,CUST_ID_297,PROD_ID_004,None,957.04,250,12,11484.48,0,11484.48,11.48,239260,-227775.52,-227.78,01-09-2023,Sep,Q3,2023,Steve Taylor,VTT,Italy
Government,CUST_ID_205,PROD_ID_006,Low,1482.86,260,350,519001,25950.05,493050.95,493.05,385543.6,107507.35,107.51,01-09-2023,Sep,Q3,2023,David Brown,Amarilla,France
Midmarket,CUST_ID_215,PROD_ID_001,Low,1506.47,5,15,22597.05,1129.85,21467.2,21.47,7532.35,13934.85,13.93,02-09-2023,Sep,Q3,2023,Eva Taylor,Montana,USA
Government,CUST_ID_291,PROD_ID_006,None,1871.96,260,350,655186,0,655186,655.19,486709.6,168476.4,168.48,02-09-2023,Sep,Q3,2023,Tina Garcia,Amarilla,Canada
Enterprise,CUST_ID_215,PROD_ID_002,High,2903.08,10,125,362885,54432.75,308452.25,308.45,29030.8,279421.45,279.42,02-09-2023,Sep,Q3,2023,Eva Taylor,Paseo,Italy
Midmarket,CUST_ID_183,PROD_ID_001,Medium,1429.27,5,15,21439.05,2143.91,19295.14,19.3,7146.35,12148.79,12.15,03-09-2023,Sep,Q3,2023,Grace Martinez,Montana,France
Government,CUST_ID_232,PROD_ID_004,Medium,2849.03,250,350,997160.5,99716.05,897444.45,897.44,712257.5,185186.95,185.19,03-09-2023,Sep,Q3,2023,Quincy Rodriguez,VTT,Germany
Midmarket,CUST_ID_300,PROD_ID_005,Medium,1711.55,3,15,25673.25,2567.33,23105.92,23.11,5134.65,17971.27,17.97,04-09-2023,Sep,Q3,2023,Rachel Jones,Carretera,India
Enterprise,CUST_ID_194,PROD_ID_003,Low,2571.32,120,125,321415,16070.75,305344.25,305.34,308558.4,-3214.15,-3.21,04-09-2023,Sep,Q3,2023,Oscar Jackson,Velo,India
Small Business,CUST_ID_221,PROD_ID_002,Medium,902.31,10,300,270693,27069.3,243623.7,243.62,9023.1,234600.6,234.6,05-09-2023,Sep,Q3,2023,Charlie Johnson,Paseo,Japan
Small Business,CUST_ID_265,PROD_ID_003,High,641.34,120,300,192402,28860.3,163541.7,163.54,76960.8,86580.9,86.58,06-09-2023,Sep,Q3,2023,Alice Moore,Velo,England
Small Business,CUST_ID_171,PROD_ID_002,Low,410.59,10,300,123177,6158.85,117018.15,117.02,4105.9,112912.25,112.91,07-09-2023,Sep,Q3,2023,Charlie Thomas,Paseo,Canada
Enterprise,CUST_ID_170,PROD_ID_005,None,2625.28,3,125,328160,0,328160,328.16,7875.84,320284.16,320.28,07-09-2023,Sep,Q3,2023,Grace Brown,Carretera,India
Enterprise,CUST_ID_205,PROD_ID_005,Medium,2086.94,3,125,260867.5,26086.75,234780.75,234.78,6260.82,228519.93,228.52,07-09-2023,Sep,Q3,2023,David Brown,Carretera,Japan
Small Business,CUST_ID_189,PROD_ID_004,Low,913.15,250,300,273945,13697.25,260247.75,260.25,228287.5,31960.25,31.96,07-09-2023,Sep,Q3,2023,Ian Moore,VTT,Germany
Government,CUST_ID_185,PROD_ID_005,None,2190.36,3,350,766626,0,766626,766.63,6571.08,760054.92,760.05,07-09-2023,Sep,Q3,2023,Quincy Garcia,Carretera,USA
Channel Partners,CUST_ID_212,PROD_ID_006,Low,1635.81,260,12,19629.72,981.49,18648.23,18.65,425310.6,-406662.37,-406.66,07-09-2023,Sep,Q3,2023,Julia Taylor,Amarilla,England
Midmarket,CUST_ID_265,PROD_ID_002,Low,1603.88,10,15,24058.2,1202.91,22855.29,22.86,16038.8,6816.49,6.82,08-09-2023,Sep,Q3,2023,Alice Moore,Paseo,Japan
Enterprise,CUST_ID_242,PROD_ID_002,High,1463.5,10,125,182937.5,27440.62,155496.88,155.5,14635,140861.88,140.86,08-09-2023,Sep,Q3,2023,Hannah Jones,Paseo,Germany
Midmarket,CUST_ID_245,PROD_ID_001,Low,1276.83,5,15,19152.45,957.62,18194.83,18.19,6384.15,11810.68,11.81,09-09-2023,Sep,Q3,2023,Julia Brown,Montana,Italy
Government,CUST_ID_250,PROD_ID_004,None,1119.71,250,350,391898.5,0,391898.5,391.9,279927.5,111971,111.97,11-09-2023,Sep,Q3,2023,Kevin Gonzalez,VTT,Italy
Channel Partners,CUST_ID_177,PROD_ID_006,Medium,1752.31,260,12,21027.72,2102.77,18924.95,18.92,455600.6,-436675.65,-436.68,11-09-2023,Sep,Q3,2023,Laura Miller,Amarilla,Germany
Channel Partners,CUST_ID_299,PROD_ID_005,Low,1064.99,3,12,12779.88,638.99,12140.89,12.14,3194.97,8945.92,8.95,11-09-2023,Sep,Q3,2023,Hannah Gonzalez,Carretera,India
Channel Partners,CUST_ID_244,PROD_ID_006,None,1274.99,260,12,15299.88,0,15299.88,15.3,331497.4,-316197.52,-316.2,12-09-2023,Sep,Q3,2023,Kevin Brown,Amarilla,India
Channel Partners,CUST_ID_208,PROD_ID_004,Medium,1725.86,250,12,20710.32,2071.03,18639.29,18.64,431465,-412825.71,-412.83,12-09-2023,Sep,Q3,2023,Julia Wilson,VTT,Italy
Government,CUST_ID_275,PROD_ID_005,None,2505.51,3,350,876928.5,0,876928.5,876.93,7516.53,869411.97,869.41,13-09-2023,Sep,Q3,2023,Mike Jones,Carretera,England
Midmarket,CUST_ID_263,PROD_ID_002,None,1271.81,10,15,19077.15,0,19077.15,19.08,12718.1,6359.05,6.36,13-09-2023,Sep,Q3,2023,Ian Jones,Paseo,Germany
Midmarket,CUST_ID_205,PROD_ID_002,Low,1043.33,10,15,15649.95,782.5,14867.45,14.87,10433.3,4434.15,4.43,14-09-2023,Sep,Q3,2023,David Brown,Paseo,Canada
Government,CUST_ID_209,PROD_ID_003,None,2444.55,120,350,855592.5,0,855592.5,855.59,293346,562246.5,562.25,14-09-2023,Sep,Q3,2023,Bob Williams,Velo,Japan
Midmarket,CUST_ID_273,PROD_ID_005,Low,1470.89,3,15,22063.35,1103.17,20960.18,20.96,4412.67,16547.51,16.55,14-09-2023,Sep,Q3,2023,Grace Gonzalez,Carretera,India
Midmarket,CUST_ID_156,PROD_ID_001,Low,1360.23,5,15,20403.45,1020.17,19383.28,19.38,6801.15,12582.13,12.58,14-09-2023,Sep,Q3,2023,Laura Davis,Montana,England
Channel Partners,CUST_ID_185,PROD_ID_001,Low,583.87,5,12,7006.44,350.32,6656.12,6.66,2919.35,3736.77,3.74,15-09-2023,Sep,Q3,2023,Quincy Garcia,Montana,Germany
Channel Partners,CUST_ID_197,PROD_ID_004,None,1817.76,250,12,21813.12,0,21813.12,21.81,454440,-432626.88,-432.63,16-09-2023,Sep,Q3,2023,Frank Johnson,VTT,Germany
Midmarket,CUST_ID_172,PROD_ID_004,High,1800.95,250,15,27014.25,4052.14,22962.11,22.96,450237.5,-427275.39,-427.28,16-09-2023,Sep,Q3,2023,Mike Smith,VTT,England
Government,CUST_ID_207,PROD_ID_005,Low,3383.85,3,350,1184347.5,59217.38,1125130.12,1125.13,10151.55,1114978.57,1114.98,16-09-2023,Sep,Q3,2023,Rachel Smith,Carretera,England
Small Business,CUST_ID_281,PROD_ID_002,Medium,937.88,10,300,281364,28136.4,253227.6,253.23,9378.8,243848.8,243.85,16-09-2023,Sep,Q3,2023,Eva Jones,Paseo,Canada
Government,CUST_ID_209,PROD_ID_004,Low,1325.71,250,350,463998.5,23199.93,440798.57,440.8,331427.5,109371.07,109.37,18-09-2023,Sep,Q3,2023,Bob Williams,VTT,France
Channel Partners,CUST_ID_284,PROD_ID_006,High,1739.77,260,12,20877.24,3131.59,17745.65,17.75,452340.2,-434594.55,-434.59,18-09-2023,Sep,Q3,2023,Grace Jackson,Amarilla,Canada
Government,CUST_ID_196,PROD_ID_005,None,3633.26,3,350,1271641,0,1271641,1271.64,10899.78,1260741.22,1260.74,19-09-2023,Sep,Q3,2023,Quincy Taylor,Carretera,Canada
Government,CUST_ID_174,PROD_ID_006,Low,3705.95,260,350,1297082.5,64854.12,1232228.38,1232.23,963547,268681.38,268.68,19-09-2023,Sep,Q3,2023,Charlie Gonzalez,Amarilla,USA
Channel Partners,CUST_ID_261,PROD_ID_004,Medium,1812.24,250,12,21746.88,2174.69,19572.19,19.57,453060,-433487.81,-433.49,19-09-2023,Sep,Q3,2023,Grace Moore,VTT,India
Government,CUST_ID_209,PROD_ID_004,Medium,2767.14,250,350,968499,96849.9,871649.1,871.65,691785,179864.1,179.86,20-09-2023,Sep,Q3,2023,Bob Williams,VTT,Canada
Midmarket,CUST_ID_259,PROD_ID_003,High,1648.79,120,15,24731.85,3709.78,21022.07,21.02,197854.8,-176832.73,-176.83,20-09-2023,Sep,Q3,2023,Hannah Brown,Velo,Canada
Channel Partners,CUST_ID_223,PROD_ID_005,High,886.71,3,12,10640.52,1596.08,9044.44,9.04,2660.13,6384.31,6.38,21-09-2023,Sep,Q3,2023,Tina Hernandez,Carretera,USA
Channel Partners,CUST_ID_152,PROD_ID_005,None,1279.64,3,12,15355.68,0,15355.68,15.36,3838.92,11516.76,11.52,22-09-2023,Sep,Q3,2023,Quincy Martin,Carretera,India
Small Business,CUST_ID_203,PROD_ID_004,Medium,285.27,250,300,85581,8558.1,77022.9,77.02,71317.5,5705.4,5.71,23-09-2023,Sep,Q3,2023,Frank Lopez,VTT,India
Small Business,CUST_ID_300,PROD_ID_003,High,651.74,120,300,195522,29328.3,166193.7,166.19,78208.8,87984.9,87.98,24-09-2023,Sep,Q3,2023,Rachel Jones,Velo,Germany
Midmarket,CUST_ID_252,PROD_ID_004,High,768.08,250,15,11521.2,1728.18,9793.02,9.79,192020,-182226.98,-182.23,25-09-2023,Sep,Q3,2023,Rachel Davis,VTT,Japan
Small Business,CUST_ID_215,PROD_ID_005,Medium,819.36,3,300,245808,24580.8,221227.2,221.23,2458.08,218769.12,218.77,26-09-2023,Sep,Q3,2023,Eva Taylor,Carretera,India
Enterprise,CUST_ID_186,PROD_ID_006,Low,1893.19,260,125,236648.75,11832.44,224816.31,224.82,492229.4,-267413.09,-267.41,26-09-2023,Sep,Q3,2023,Paul Smith,Amarilla,England
Midmarket,CUST_ID_176,PROD_ID_005,High,1679.12,3,15,25186.8,3778.02,21408.78,21.41,5037.36,16371.42,16.37,28-09-2023,Sep,Q3,2023,David Smith,Carretera,USA
Government,CUST_ID_192,PROD_ID_006,None,3413.11,260,350,1194588.5,0,1194588.5,1194.59,887408.6,307179.9,307.18,28-09-2023,Sep,Q3,2023,Alice Brown,Amarilla,England
Channel Partners,CUST_ID_271,PROD_ID_004,None,596.12,250,12,7153.44,0,7153.44,7.15,149030,-141876.56,-141.88,28-09-2023,Sep,Q3,2023,Tina Johnson,VTT,France
Enterprise,CUST_ID_245,PROD_ID_005,None,2448.99,3,125,306123.75,0,306123.75,306.12,7346.97,298776.78,298.78,29-09-2023,Sep,Q3,2023,Julia Brown,Carretera,India
Small Business,CUST_ID_284,PROD_ID_006,None,956.57,260,300,286971,0,286971,286.97,248708.2,38262.8,38.26,29-09-2023,Sep,Q3,2023,Grace Jackson,Amarilla,England
Government,CUST_ID_277,PROD_ID_001,Low,3551.7,5,350,1243095,62154.75,1180940.25,1180.94,17758.5,1163181.75,1163.18,29-09-2023,Sep,Q3,2023,Quincy Anderson,Montana,Germany
Enterprise,CUST_ID_200,PROD_ID_005,Low,2230.38,3,125,278797.5,13939.88,264857.62,264.86,6691.14,258166.48,258.17,30-09-2023,Sep,Q3,2023,Frank Rodriguez,Carretera,USA
Midmarket,CUST_ID_243,PROD_ID_006,None,1963.47,260,15,29452.05,0,29452.05,29.45,510502.2,-481050.15,-481.05,01-10-2023,Oct,Q4,2023,Quincy Smith,Amarilla,Canada
Government,CUST_ID_221,PROD_ID_003,High,2216.35,120,350,775722.5,116358.38,659364.12,659.36,265962,393402.12,393.4,01-10-2023,Oct,Q4,2023,Charlie Johnson,Velo,France
Enterprise,CUST_ID_283,PROD_ID_006,None,2838.35,260,125,354793.75,0,354793.75,354.79,737971,-383177.25,-383.18,01-10-2023,Oct,Q4,2023,Bob Johnson,Amarilla,Germany
Channel Partners,CUST_ID_294,PROD_ID_003,Medium,1944.93,120,12,23339.16,2333.92,21005.24,21.01,233391.6,-212386.36,-212.39,01-10-2023,Oct,Q4,2023,Julia Anderson,Velo,Germany
